Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Cameroon,1292,1350,1395,1456,1443,1719,1647,2123,2275,2446,2591,2748,2889,5249,5471,5405,6429,5921,4007,5473,5484,5282,5128,5551,5960,5966,6121,6129,6429,6238,6653,6634,6560,6690,6621,6534,6594,7592,7968,8585,8737,8609,8845,9035,9179
Canada,356648,364014,382726,401996,410139,399790,412397,426136,428534,444237,448596,429102,409363,404620,423732,424045,414294,426509,457729,473780,448401,441324,453271,451369,468350,481080,494932,511683,518273,528344,550204,541633,547968,568538,561170,556955,545271,570305,563259,532693,544771,551762,560572,565124,565992
Cayman Islands,47,47,69,73,63,80,63,74,63,63,65,89,83,90,98,85,97,107,216,225,226,233,231,196,225,249,255,227,221,222,232,249,244,250,274,270,267,292,299,306,323,346,347,347,351
Central African Republic,209,212,218,236,246,259,261,275,282,317,306,313,327,329,328,340,358,420,400,409,363,406,415,427,480,502,494,556,525,522,517,535,530,553,557,555,565,604,627,616,655,677,694,718,737
Chad,220,222,242,242,248,269,272,292,300,356,386,368,383,369,325,342,383,465,429,437,417,476,490,468,620,652,661,770,694,723,686,730,747,943,975,986,1004,1130,1089,1050,1115,1158,1197,1239,1274
Chile,27838,30287,31485,31489,29552,26931,27566,25792,26264,27859,27648,25349,21532,21970,23241,22426,22699,22916,27678,33411,33222,31546,32665,34601,37852,41538,47849,54952,55547,58502,54376,52168,52284,53847,58606,59860,61300,69692,72525,69124,73548,80204,78628,81783,78626
China,954385,957810,1020924,1063171,1080724,1233361,1280243,1436050,1624272,1663002,1622279,1599511,1669305,1752681,1905595,1911670,2016278,2152728,2302517,2370022,2411402,2532891,2643201,2976748,3142718,3431451,3493853,3504805,3578356,3510697,3746109,3913892,4261398,4971228,5786976,6653074,7318443,7957880,8105538,8492570,9009136,9869739,10128163,10448383,10540750
"China, Hong Kong SAR",9515,9556,9840,9930,11377,11277,13089,15179,16181,15057,15523,16843,18058,20760,22680,23686,26989,29541,32779,34236,35100,38066,42494,45003,38521,38549,37243,34779,43352,46271,42098,43301,41978,44648,42688,43025,42520,45546,44546,47716,42363,47327,47379,49140,49917
"China, Macao SAR",78,77,101,161,179,185,193,337,278,286,324,374,384,568,548,487,607,674,703,665,660,640,641,736,603,729,907,1013,1258,1278,1328,1542,1567,1636,2020,2078,1911,1892,1933,1974,2132,2299,2344,2373,2450
"China, Taiwan Province of",35811,36075,40655,45301,44366,48013,56860,61210,69352,73413,80862,74489,73491,78344,80370,79811,92398,97565,113435,123000,125036,134230,142482,153112,161758,170653,180175,194018,204134,212423,230895,235872,244313,254079,263131,270638,278964,281417,269013,255271,272651,271708,272292,274380,276675
Colombia,32725,33033,33942,34940,37546,35215,37447,38456,39821,40007,40817,41331,41909,43976,44732,46282,46810,48795,49353,50879,52367,53932,55941,59185,58994,61823,60917,66419,67635,59309,61664,60990,58614,58122,58278,60505,59376,61058,61563,64821,64094,71335,69255,71132,74054
Comoros,11,11,15,13,14,17,20,23,24,27,26,28,24,25,26,24,27,34,41,42,48,50,49,48,52,57,58,65,61,62,65,71,71,72,75,74,78,88,93,92,99,103,106,110,114
Congo,1801,2064,1977,8960,12886,7966,7697,2469,1530,1391,1826,2052,2384,2441,2416,2459,2396,2428,2407,2424,2363,2375,2347,2332,2234,2659,3306,3404,4053,4138,4511,4381,2852,3548,3617,4410,4905,4312,4481,4973,5364,4891,4981,5024,5068
Cook Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,12,16,16,18,12,34,25,23,27,28,24,16,16,18,24,31,26,29,28,29,29,28,29,29
Costa Rica,1439,1438,1612,1834,1800,1972,2034,2558,2761,2765,2485,2299,1954,1990,2075,2186,2280,2408,2542,2873,2912,3159,4248,4271,4964,4973,4660,4633,5148,5129,5094,5506,5577,6038,6256,6619,6853,7653,7575,7295,7235,7465,7597,7557,7641
C™te d Ivoire,2639,2691,2991,3076,3161,3432,3919,3888,4496,4197,3996,3664,3488,4100,3661,3361,3441,3337,3309,3189,2933,3028,3014,3189,3356,3656,4571,5539,5371,7147,6752,6780,7241,5657,5950,6379,6389,6262,6992,6630,6735,6527,7382,7300,7326
Croatia,21286,20856,21335,22557,23361,23552,23295,23729,24628,26921,24178,23207,24385,25571,24254,25219,27041,25472,27839,28359,24793,17547,16210,16697,16026,16536,16429,18217,19419,19559,19057,20202,21029,22365,22337,22500,22690,24388,23070,21478,20680,20518,20361,20978,20677
Cuba,21697,21758,21316,23090,25040,25718,27199,29674,31813,32267,33121,33335,33186,35803,37518,35046,35698,37417,39272,40757,36949,28490,22753,20827,22328,23658,25639,28075,27595,28369,28752,27719,26460,25689,25241,26090,26574,27496,26001,33364,30810,29411,29951,29905,30242
Cyprus,2163,2178,2665,2777,2127,2169,2637,2799,2909,3104,3275,3137,3170,3155,3207,3151,3502,4062,4117,4353,4532,5089,5349,5524,5713,5599,5892,5973,6435,6673,7010,6858,7046,7788,7715,7865,7906,8259,8428,8234,7958,7673,7266,7198,7237
Czech Republic,189419,189553,189354,187277,170662,177788,182921,193305,186995,196902,189392,190008,191464,192041,194464,191923,190622,191052,186710,178323,168677,152757,142224,137950,131458,131952,133509,131133,125463,118379,129709,129180,123573,127395,128820,125671,127572,129032,123788,115656,120171,118905,117052,112877,111655
Democratic People s Republic of Korea,82885,83241,86375,88356,91809,95845,101072,106519,103759,111244,117658,120768,126128,130787,134215,139371,136901,131880,135231,136760,130805,125627,110914,102676,94137,88226,78192,75812,62665,68294,73527,76355,73146,74679,76229,79461,80901,67656,74645,72832,69031,56795,57082,58425,59859
Democratic Republic of the Congo,2928,2959,3043,3062,3217,3162,3102,3214,3237,3581,3543,3786,3043,3981,3887,3630,3397,3732,3873,3676,3362,2851,2585,2441,3369,3346,3463,3478,3469,3271,2751,2691,2811,3261,2500,2776,2838,3098,3179,3105,3249,3680,3794,3898,3984
Denmark,61816,57576,59640,58711,52342,54676,60412,62161,62065,65530,64983,54762,57092,53584,55252,63080,63739,61809,57907,52227,52869,63470,57750,60065,64031,60746,74079,64264,60270,57267,53100,54740,54286,59772,54186,50695,58617,53870,50566,48346,48253,43119,41802,43905,40030
Djibouti,98,98,137,124,134,159,520,482,472,697,687,683,607,494,376,393,395,552,510,963,806,962,797,776,476,509,513,554,605,609,742,820,824,876,897,959,1046,1121,1180,1204,1277,1337,1343,1399,1442
Dominica,30,31,35,38,36,43,41,44,44,43,50,56,55,55,58,57,61,76,81,85,85,85,84,86,94,98,100,101,117,123,126,135,130,132,140,136,140,146,146,149,157,164,165,165,166
Dominican Republic,3812,3900,5087,5060,5417,5616,5768,6233,6354,6707,6904,6564,6382,7380,7738,6834,7642,8783,8813,9385,8026,8406,9757,9638,11265,11976,12883,14658,16555,18040,18554,18261,19870,19602,19497,19295,21077,21096,21919,20292,20694,22272,22915,23163,23442
Ecuador,5004,4459,4461,5646,6903,7484,8571,9963,11195,12134,12771,14064,14160,13303,13710,14754,15489,14216,16019,16153,16984,17001,17360,16991,17656,19098,21265,22426,21007,18845,19834,20783,22885,23143,23439,27230,29490,31363,31259,34916,36682,38323,39442,41379,43027
Egypt,24843,24550,26717,24860,28813,31082,35978,37095,37651,40636,44462,50184,54169,60343,66588,69882,73096,79399,81577,86864,89861,91516,94222,95167,91470,97113,104446,111080,116057,122040,120146,133005,136350,140280,152729,171096,179794,191558,197455,202391,208169,219355,224483,220138,225112
El Salvador,1527,1590,1829,2012,2042,2299,2336,2410,2572,2397,2016,2012,1879,1942,1897,2074,2057,2462,2434,2428,2589,3302,3718,4034,4680,5112,4556,5581,5847,5787,5771,6170,6198,6545,6589,6857,7253,7652,6901,6921,6684,6897,7089,7097,7161
Equatorial Guinea,32,32,33,35,36,38,40,42,43,52,50,49,53,54,54,60,66,86,68,81,73,83,76,78,1195,1269,1360,1839,2225,2409,2500,3299,2646,2954,3295,3340,3280,3372,3166,2819,2925,3050,2056,2080,2096
Eritrea,43,41,39,40,41,36,39,40,42,48,42,42,43,44,44,47,50,45,46,47,49,49,466,662,745,811,892,846,642,682,674,738,725,703,696,614,538,527,461,482,516,601,640,657,672
